Descriptor,mean_non_inhibitors,mean_inhibitors,median_non_inhibitors,median_inhibitors,p-value
MaxAbsEStateIndex,12.733504789709835,13.163985556575659,13.242379233329132,13.503816579882258,0.0004408022447338583
MaxEStateIndex,12.733504789709835,13.163985556575659,13.242379233329132,13.503816579882258,0.0004408022447338583
qed,0.666136276721606,0.6086559840888498,0.6922684294893817,0.6189920751394065,1.5022031321325085e-06
MolWt,337.81593276108725,363.1047933333333,338.1539999999999,362.9204999999997,2.0073398712605454e-06
HeavyAtomMolWt,318.51974355300865,343.8486333333331,318.2270000000001,343.68300000000005,5.285359341592977e-07
ExactMolWt,337.428548580942,362.6656811633484,337.13477921600065,362.58608498400054,2.045794044139299e-06
NumValenceElectrons,123.83954154727793,131.56,124.0,130.0,8.35740195320925e-05
BCUT2D_MWHI,9.487285412597005,10.27685907614266,11.071390194057576,11.189383553522195,0.0052755147143526086
AvgIpc,3.028787923539242,3.081158009792589,3.0123430021915785,3.0570774039873005,0.006717199063622993
BalabanJ,2.544517600005456,2.4546552898177865,2.480871266873941,2.3696062744455775,0.006138329575890246
BertzCT,1508.3863886110953,1613.910913685258,1507.9677087156804,1606.864445907139,0.000665493916697891
Chi0v,11.911155597403509,12.839165948445219,11.889792788551164,12.863399586301142,8.112250266693493e-07
Chi1,18.792541496776604,19.72678764586731,18.76441398355943,19.640499080864828,0.002798208029109745
Chi1v,6.509091948218698,7.096412653012322,6.419297293139422,7.094116600873375,3.088824538365093e-07
Chi2n,3.9637324739843405,4.272614753948829,3.9317444756602784,4.223750355716321,1.5557494560820208e-05
Chi2v,4.551649067055115,5.065453544872934,4.46831078801956,4.930906115407993,3.126941385573689e-08
Chi3n,2.4788734326724433,2.7221699891374147,2.453577393151826,2.705249146536588,2.3444526895102577e-06
Chi3v,2.920973332566279,3.3643930379770217,2.849661989597091,3.3263469666816903,1.2981275569865793e-10
Chi4n,1.5243180957829436,1.6892200229221839,1.4846418689047818,1.6693988130688378,5.623908360486111e-06
Chi4v,1.8414320775710757,2.1809756006673715,1.7722667450066312,2.128911761972857,6.857371210904806e-12
Kappa1,5.095847692065466,5.672937202348358,5.016037169237807,5.61644406276403,7.368379346207184e-08
Kappa2,7.017245740484674,7.390268672462397,6.950809347206228,7.432858822488666,0.005481917258999397
LabuteASA,166.66888718067864,177.0048417747729,167.1073149937912,176.857957081395,7.060538688641286e-05
PEOE_VSA13,3.669013453035371,4.455100658236773,1.4311996572326342,5.559266895052008,0.007227961138234108
PEOE_VSA2,7.479174026256885,8.552589252685754,4.9839785209472085,9.430239227468263,0.007376706903137584
PEOE_VSA7,32.06316875273769,34.81574721967393,31.02156694794886,35.283931858715405,0.0056645364840664245
