Descriptor,mean_non_inhibitors,mean_inhibitors,median_non_inhibitors,median_inhibitors,T-Statistic,p-value,Significance,p-value < 0.05 Count,Super_Significance,p-value < 0.01 Count
MaxAbsEStateIndex,11.729755083106133,12.392535736046563,12.264066358024692,12.556858413552135,-5.422869866352257,7.403664790484203e-08,goed verschilletje hiero,74,woow,61
MaxEStateIndex,11.729755083106133,12.392535736046563,12.264066358024692,12.556858413552135,-5.422869866352257,7.403664790484203e-08,goed verschilletje hiero,74,woow,61
MinAbsEStateIndex,0.1403332861265991,0.11562430134128644,0.10537037037036989,0.07966088197216448,2.8574004733453178,0.004362861889931046,goed verschilletje hiero,74,woow,61
MinEStateIndex,-0.8933999528130059,-1.099264799816303,-0.4030760716055626,-0.5118714644152398,2.1121353456049503,0.034923543799622425,goed verschilletje hiero,74,nope,61
qed,0.666136276721606,0.6086559840888498,0.6922684294893817,0.6189920751394065,4.840254048622248,1.5022031321325085e-06,goed verschilletje hiero,74,woow,61
MolWt,337.8159327610874,363.1047933333334,338.154,362.92050000000006,-4.780940644784224,2.007339871260389e-06,goed verschilletje hiero,74,woow,61
HeavyAtomMolWt,318.51974355300865,343.8486333333331,318.2270000000001,343.68300000000005,-5.048772047215694,5.285359341592977e-07,goed verschilletje hiero,74,woow,61
ExactMolWt,337.4285485809417,362.665681163348,337.134779216,362.58608498399997,-4.777037248322477,2.045794044139295e-06,goed verschilletje hiero,74,woow,61
NumValenceElectrons,123.83954154727793,131.56,124.0,130.0,-3.950241593276446,8.35740195320925e-05,goed verschilletje hiero,74,woow,61
NumRadicalElectrons,0.0,0.0,0.0,0.0,,,"nope, deze niet",74,nope,61
MaxPartialCharge,0.2727308220825688,0.2763089351794719,0.26950397085109423,0.2704322459832418,-0.7635982692285053,0.44528879715393954,"nope, deze niet",74,nope,61
MinPartialCharge,-0.42258928495793724,-0.42514934409914146,-0.4535930313601764,-0.4568489414359643,0.4746343981888059,0.6351535457870556,"nope, deze niet",74,nope,61
MaxAbsPartialCharge,0.42559952574276055,0.4280960146483953,0.45359507758684203,0.45825493828035946,-0.4810386871872392,0.6305966011998166,"nope, deze niet",74,nope,61
MinAbsPartialCharge,0.27044984874029426,0.27380690221803156,0.26795242669053804,0.26934536097805273,-0.741294267019292,0.4586906596561322,"nope, deze niet",74,nope,61
FpDensityMorgan1,1.1669231820133843,1.15611136381247,1.1666666666666667,1.1428571428571428,0.8869002088960811,0.37534802556635305,"nope, deze niet",74,nope,61
FpDensityMorgan2,1.889466291337657,1.8713998906615406,1.894736842105263,1.8651515151515152,1.1382655269745874,0.2552850027664238,"nope, deze niet",74,nope,61
FpDensityMorgan3,2.5599319768367486,2.545575099566633,2.5652173913043477,2.5454545454545454,0.7786071230789751,0.4363989425331467,"nope, deze niet",74,nope,61
BCUT2D_MWHI,25.075290948660214,27.003761477473937,32.09204652786019,32.135345981439706,-3.327518542277804,0.0009095749374935415,goed verschilletje hiero,74,woow,61
