Descriptor,mean_non_inhibitors,mean_inhibitors,median_non_inhibitors,median_inhibitors,T-Statistic,p-value,Significance,p-value < 0.05 Count,Super_Significance,p-value < 0.01 Count
MaxAbsEStateIndex,12.733504789709835,13.163985556575659,13.242379233329132,13.503816579882258,-3.526228065948107,0.0004408022447338583,goed verschilletje hiero,82,woow,60
MaxEStateIndex,12.733504789709835,13.163985556575659,13.242379233329132,13.503816579882258,-3.526228065948107,0.0004408022447338583,goed verschilletje hiero,82,woow,60
MinAbsEStateIndex,0.4374311099893746,0.39705143713616603,0.33365880154432115,0.2923016197700543,1.6405896497184562,0.10120156384146833,"nope, deze niet",82,nope,60
MinEStateIndex,-4.305560230617589,-4.3286386513587125,-4.136541072476206,-4.167865845324449,0.30519303704370904,0.760283352312017,"nope, deze niet",82,nope,60
qed,0.666136276721606,0.6086559840888498,0.6922684294893817,0.6189920751394065,4.840254048622248,1.5022031321325085e-06,goed verschilletje hiero,82,woow,60
MolWt,337.81593276108725,363.1047933333333,338.1539999999999,362.9204999999997,-4.780940644784208,2.0073398712605454e-06,goed verschilletje hiero,82,woow,60
HeavyAtomMolWt,318.51974355300865,343.8486333333331,318.2270000000001,343.68300000000005,-5.048772047215694,5.285359341592977e-07,goed verschilletje hiero,82,woow,60
ExactMolWt,337.428548580942,362.6656811633484,337.13477921600065,362.58608498400054,-4.777037248322476,2.045794044139299e-06,goed verschilletje hiero,82,woow,60
NumValenceElectrons,123.83954154727793,131.56,124.0,130.0,-3.950241593276446,8.35740195320925e-05,goed verschilletje hiero,82,woow,60
NumRadicalElectrons,0.0,0.0,0.0,0.0,,,"nope, deze niet",82,nope,60
MaxPartialCharge,0.2952186957010972,0.2885813915980369,0.2932937445447408,0.2805035172826088,1.54899127716902,0.12170373562574864,"nope, deze niet",82,nope,60
MinPartialCharge,-0.42258928495793724,-0.42514934409914146,-0.4535930313601764,-0.4568489414359643,0.4746343981888059,0.6351535457870556,"nope, deze niet",82,nope,60
MaxAbsPartialCharge,0.42649329510941203,0.4283428474135691,0.45359546299576253,0.45825493828035946,-0.3594365541386945,0.7193461249449108,"nope, deze niet",82,nope,60
MinAbsPartialCharge,0.2919829637274396,0.2857972366759152,0.2930920750855151,0.27700888931158807,1.5053181719938185,0.13256094305013527,"nope, deze niet",82,nope,60
FpDensityMorgan1,1.3991902848033875,1.3736874954157232,1.3858560794044665,1.3548387096774193,1.646133239582282,0.1000524469947572,"nope, deze niet",82,nope,60
FpDensityMorgan2,2.1839228414806966,2.1484994254733047,2.1785714285714284,2.1318840579710145,1.8295134080860167,0.06762366093090809,"nope, deze niet",82,nope,60
FpDensityMorgan3,2.9051798636555146,2.859515990241999,2.9130434782608696,2.857142857142857,2.052980422550961,0.04033790924579666,goed verschilletje hiero,82,nope,60
BCUT2D_MWHI,9.487285412597005,10.27685907614266,11.071390194057576,11.189383553522195,-2.795860763182866,0.0052755147143526086,goed verschilletje hiero,82,woow,60
BCUT2D_MWLOW,-0.2309216726353641,-0.22849111107475018,-0.24474556402609562,-0.24472771514109362,-1.1975535561731467,0.23138463314483979,"nope, deze niet",82,nope,60
BCUT2D_CHGHI,0.12006851774694714,0.13677632616524293,7.777224415726979e-17,1.0633432758682107e-16,-1.1399988369774587,0.2545622349179671,"nope, deze niet",82,nope,60
BCUT2D_CHGLO,-2.545863875052655,-2.5407109163955393,-2.536117205694281,-2.539300510499279,-0.4056888864863224,0.6850581675818564,"nope, deze niet",82,nope,60
BCUT2D_LOGPHI,0.15279727890856595,0.1766801727425337,2.1948667188231143e-16,0.032605034855316274,-1.4501932164491282,0.14732169663422828,"nope, deze niet",82,nope,60
BCUT2D_LOGPLOW,-2.7296984719180983,-2.700353597348901,-2.6699877918543646,-2.6572867151474053,-1.2070415447157374,0.22770215300497887,"nope, deze niet",82,nope,60
