Descriptor,mean_non_inhibitors,mean_inhibitors,median_non_inhibitors,median_inhibitors,T-Statistic Mean,p-value Mean,T-Statistic Median,p-value Median,Significance Mean,p-value < 0.05 Count,Super_Significance Mean,p-value < 0.01 Count,Significance Median
MaxAbsEStateIndex,9.555998051406386,12.143157162993482,11.533411399281935,12.464132689936223,-17.587945720977174,1.7128724085200004e-64,-17.587945720977174,1.7128724085200004e-64,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
MaxEStateIndex,9.555998051406386,12.143157162993482,11.533411399281935,12.464132689936223,-17.587945720977174,1.7128724085200004e-64,-17.587945720977174,1.7128724085200004e-64,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
MinAbsEStateIndex,0.3157340373827791,0.12482244253706246,0.22014220888972857,0.08195318405139851,15.98551876805666,3.2041189710958965e-54,15.98551876805666,3.2041189710958965e-54,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
MinEStateIndex,-0.517136979235451,-1.1068264420001983,-0.18140520225792578,-0.5215350645793467,8.12954511432662,7.475562798216435e-16,8.12954511432662,7.475562798216435e-16,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
qed,0.6703888149701986,0.6247374477794934,0.6946846764950516,0.6311732045109664,5.9956003238727895,2.3996360692536675e-09,5.9956003238727895,2.3996360692536675e-09,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
MolWt,300.1419892857139,355.5963849999999,293.30350000000004,353.6585000000001,-15.138550146302686,4.282242443190429e-49,-15.138550146302686,4.282242443190429e-49,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
HeavyAtomMolWt,285.12638928571397,335.73038500000007,279.448,333.9815000000001,-14.585408796287227,7.258160072867311e-46,-14.585408796287227,7.258160072867311e-46,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
ExactMolWt,299.7362202980963,355.1758510157324,293.01562072800004,353.141222320045,-15.14961654170272,3.682137557835462e-49,-15.14961654170272,3.682137557835462e-49,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
NumValenceElectrons,108.01142857142857,129.65,106.0,128.0,-15.594670832308415,7.907676656830524e-52,-15.594670832308415,7.907676656830524e-52,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
NumRadicalElectrons,0.0,0.0,0.0,0.0,,,,,"nope, deze niet",127,nope,127,"nope, deze niet"
