Descriptor,mean_non_inhibitors,mean_inhibitors,T-Statistic,p-value,Significance,p-value < 0.05 Count,Super_Significance
MaxAbsEStateIndex,11.59660410704933,12.03570833833068,-3.0405860613116533,0.002422799251663461,"jaaaaaaaaaaaaa, goed verschilletje hiero",54,woooooooooooooooooooooooooooooooooooooooooooooooow
MaxEStateIndex,11.59660410704933,12.03570833833068,-3.0405860613116533,0.002422799251663461,"jaaaaaaaaaaaaa, goed verschilletje hiero",54,woooooooooooooooooooooooooooooooooooooooooooooooow
MinAbsEStateIndex,0.16299066874072735,0.13257580850484138,2.5896379185947285,0.009747616049463946,"jaaaaaaaaaaaaa, goed verschilletje hiero",54,woooooooooooooooooooooooooooooooooooooooooooooooow
MinEStateIndex,-0.9127538976034777,-1.099264799816303,1.8888153929482088,0.05920632622210159,"nope, deze niet",54,nope
qed,0.6645857062164637,0.6086559840888498,4.670099901166228,3.4218843655265734e-06,"jaaaaaaaaaaaaa, goed verschilletje hiero",54,woooooooooooooooooooooooooooooooooooooooooooooooow
MolWt,338.19808428571446,363.1047933333334,-4.683573880170528,3.2088910268233132e-06,"jaaaaaaaaaaaaa, goed verschilletje hiero",54,woooooooooooooooooooooooooooooooooooooooooooooooow
HeavyAtomMolWt,319.2232042857144,343.8486333333331,-4.859747199041772,1.3642928748083134e-06,"jaaaaaaaaaaaaa, goed verschilletje hiero",54,woooooooooooooooooooooooooooooooooooooooooooooooow
ExactMolWt,337.8108647227745,362.665681163348,-4.679477921113288,3.2722535520168226e-06,"jaaaaaaaaaaaaa, goed verschilletje hiero",54,woooooooooooooooooooooooooooooooooooooooooooooooow
NumValenceElectrons,124.1,131.56,-3.7833338435083332,0.00016394906496913116,"jaaaaaaaaaaaaa, goed verschilletje hiero",54,woooooooooooooooooooooooooooooooooooooooooooooooow
NumRadicalElectrons,0.0,0.0,,,"nope, deze niet",54,nope
MaxPartialCharge,0.2724360164376518,0.27657712572609855,-0.8488153024657378,0.39618762159059606,"nope, deze niet",54,nope
MinPartialCharge,-0.42871897392431235,-0.4346625809248533,0.9108497248941175,0.3625944995492434,"nope, deze niet",54,nope
MaxAbsPartialCharge,0.4316733102374178,0.4375404958279579,-0.9240801414813797,0.35566795982606536,"nope, deze niet",54,nope
MinAbsPartialCharge,0.2694816801245465,0.27369921082299403,-0.9074588477668203,0.364383260269033,"nope, deze niet",54,nope
FpDensityMorgan1,1.167878348612292,1.1541095111182804,1.0898966991415133,0.27602173775841277,"nope, deze niet",54,nope
FpDensityMorgan2,1.8818424777049456,1.8652433358349079,0.9939482078267048,0.32048900667315167,"nope, deze niet",54,nope
FpDensityMorgan3,2.542128313734997,2.523778780198635,0.885657233025156,0.3760156030430777,"nope, deze niet",54,nope
BCUT2D_MWHI,27.179491387279594,29.473126738531306,-2.4448947177722475,0.0146614861516338,"jaaaaaaaaaaaaa, goed verschilletje hiero",54,nope
BCUT2D_MWLOW,10.094421652419925,10.079829020818366,1.288805130402765,0.197764506834464,"nope, deze niet",54,nope
BCUT2D_CHGHI,2.2282688145265386,2.2613231970182275,-3.4456574627761807,0.0005933947967539476,"jaaaaaaaaaaaaa, goed verschilletje hiero",54,woooooooooooooooooooooooooooooooooooooooooooooooow
BCUT2D_CHGLO,-2.1829938649082927,-2.1901731104447903,0.8061399656232193,0.42035419323503265,"nope, deze niet",54,nope
